TIC,Type,per_vsx,vsx_token,expected_class,vis_multi,vis_notes
153241515,BCEP,0.151164,BCEP,,False,pocos puntos
154678848,EA,5.4166,EA,E,False,
155215560,DSCT|GDOR|SXPHE,8.2815,DSCT,DST,True,
155286121,EA,2.005,EA,E,False,3 system?
155530282,BCEP,0.1819331,BCEP,,False,
160966399,EA,4.700102,EA,E,False,
161714192,BCEP,0.220421,BCEP,,True,
170150046,ESD|ED,2.3709,ESD,E,False,
175048236,E,1.77816,E,E,False,
175728634,EA,3.32423,EA,E,True,
176423372,ELL,2.93023,ELL,ELL,True,
180730928,EA,1.13492,EA,E,False,
180964518,DSCT|GDOR|SXPHE,3.96773,DSCT,DST,False,
182936762,EA,9.3535,EA,E,False,
189561605,BCEP,0.210526,BCEP,,False,
192116218,ESD,4.58239,ESD,E,False,
195979113,MISC,3.7498657,MISC,,False,
196868223,ESD,5.474192,ESD,E,False,
196873474,EB,5.206898,EB,E,True,
202445608,EA/KE,3.36824,EA,E,False,
203856936,ESD,4.3324,ESD,E,True,
207161872,DCEPS,3.786008,DCEPS,CEP,False,
207505006,DSCT|GDOR|SXPHE,0.305577,DSCT,DST,True,
212373097,EA,5.15447,EA,E,False,
216151248,BCEP,0.1800941,BCEP,,False,
218709969,DSCT|GDOR|SXPHE,4.1439,DSCT,DST,True,
220082557,EA,2.257188,EA,E,False,
224802820,BCEP,0.144921,BCEP,,False,
227743418,ESD,4.02474,ESD,E,False,
231985748,DPV/EA,8.53295,DPV,,False,
233823777,SPB,3.76619,SPB,,False,
234068267,BCEP,0.178633,BCEP,,False,
234644092,BCEP,0.202068,BCEP,,False,
235518467,BCEP,0.1660628,BCEP,,False,
235781277,CWA,10.411,CWA,CEP,False,
236068511,ED,2.146028,ED,E,False,
236409173,BCEP,0.2242077,BCEP,,False,
236838052,BCEP,0.1817808,BCEP,,False,
245465292,DSCT|GDOR|SXPHE,5.9167,DSCT,DST,False,
246047409,BCEP,0.1775968,BCEP,,False,
247066241,BCEP,0.1657833,BCEP,,False,
247264964,BCEP,0.10794,BCEP,,False,
247315421,EA,3.9207,EA,E,False,
248275346,BCEP,0.1428561,BCEP,,False,
251230392,ELL,1.8596,ELL,ELL,False,
251304698,DPV/ELL,10.5856,DPV,,True,
251384128,EA,5.4551,EA,E,False,
251684704,DSCT|GDOR|SXPHE,2.41164,DSCT,DST,True,
256421798,EB,2.00678,EB,E,False,
256608717,E,2.51134,E,E,False,
262113065,DSCT|GDOR|SXPHE,1.49277,DSCT,DST,False,
262859209,DCEPS(B),0.631355,DCEPS,CEP,False,
263335853,EB,3.0115,EB,E,False,
263422831,BCEP,0.245744,BCEP,,False,pulsacional noisy
264731958,BCEP,0.212227,BCEP,,True,
264804453,E,1.4307,E,E,False,
264998628,VAR,0.66391,VAR,,True,
265298333,BCEP,0.1147205,BCEP,,False,
266265296,E,2.05161,E,E,False,
268939674,EW,0.42765,EW,E,False,
269228211,EW,0.936247,EW,E,False,
269818126,EB,3.3593,EB,E,False,
271443727,MISC,4.3711042,MISC,,False,
272539879,EB/DM,2.1420716,EB,E,False,
272625912,DSCT|GDOR|SXPHE,0.302557,DSCT,DST,False,
272833115,E,2.81396,E,E,True,
274076553,E,4.25873,E,E,False,
278076037,EB,1.23372,EB,E,True,
279188128,DSCT|GDOR|SXPHE,0.75617,DSCT,DST,False,
280287051,DCEP,7.13357,DCEP,CEP,True,
281643864,BCEP,0.207971,BCEP,,False,
282737511,DSCT|GDOR|SXPHE,0.31102,DSCT,DST,False,
283839379,EA,3.862168,EA,E,False,
285235783,DCEP,4.501697,DCEP,CEP,False,
296564787,ED,2.3153,ED,E,False,
297348512,BCEP,0.1455969,BCEP,,False,
303875170,EA/KE:,3.216917,EA,E,False,
304015004,EB/DM,2.757717,EB,E,True,
304844648,CWB,1.63959,CWB,CEP,False,
304943076,BCEP,0.212214,BCEP,,False,
312630206,BCEP,0.1643477,BCEP,,False,
313399930,BCEP,0.1512293,BCEP,,False,
313446637,DSCT|GDOR|SXPHE,1.49204,DSCT,DST,False,
314035434,E,5.347,E,E,False,
314150303,BCEP,0.367366,BCEP,,False,
314393072,BCEP,0.231447,BCEP,,False,
314406170,ED,2.527596,ED,E,False,
314951512,DCEP,5.44095,DCEP,CEP,False,
315291647,EB,1.51853,EB,E,False,
315506577,DSCT|GDOR|SXPHE,0.218226,DSCT,DST,False,
315955586,BCEP,0.161948,BCEP,,False,
316144493,BCEP,0.214806,BCEP,,False,
317035155,EA,4.1233,EA,E,False,
