TIC,Type,per_vsx,label,vsx_token,expected_class,per_det,brf_class,period_match,grupo,vis_verdict,vis_shape,vis_notes,vis_date,vis_multi
153241515,BCEP,0.151164,1,BCEP,,,,,acuerdo,ok,,pocos puntos,2026-09-05,False
154678848,EA,5.4166,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
155113877,SPB:,3.2506,1,SPB,,,,,acuerdo,unconstrained,,,2026-09-05,True
155215560,DSCT|GDOR|SXPHE,8.2815,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,True
155286121,EA,2.005,1,EA,E,,,,acuerdo,ok,,3 system?,2026-09-05,False
155530282,BCEP,0.1819331,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
160966399,EA,4.700102,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
161706446,DSCT|GDOR|SXPHE,0.0618978,1,DSCT,DST,,,,acuerdo,bad,,,2026-09-05,False
161714192,BCEP,0.220421,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,True
170150046,ESD|ED,2.3709,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,False
172357941,EB,1.0427,1,EB,E,,,,acuerdo,bad,,,2026-09-05,False
173863399,MISC,1.09779,1,MISC,,,,,acuerdo,bad,,,2026-09-05,True
175048236,E,1.77816,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
175728634,EA,3.32423,1,EA,E,,,,acuerdo,ok,,,2026-09-05,True
176423372,ELL,2.93023,1,ELL,ELL,,,,acuerdo,ok,,,2026-09-05,True
177129056,BCEP,0.267,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,True
179639066,ACYG,0.0802626,1,ACYG,,,,,acuerdo,,,,,
179840109,DSCT|GDOR|SXPHE,0.0629241,1,DSCT,DST,,,,acuerdo,bad,,,2026-09-05,False
180730928,EA,1.13492,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
180952390,RRC,0.216239,1,RRC,RR,,,,acuerdo,bad,,,2026-09-05,False
180964518,DSCT|GDOR|SXPHE,3.96773,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
182936762,EA,9.3535,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
188549171,VAR,1.12333,1,VAR,,,,,acuerdo,bad,,,2026-09-05,False
189561605,BCEP,0.210526,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
191450569,HMXB/XP+E,8.964357,1,HMXB,,,,,acuerdo,bad,,,2026-09-05,True
192116218,ESD,4.58239,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,False
195979113,MISC,3.7498657,1,MISC,,,,,acuerdo,ok,,,2026-09-05,False
196868223,ESD,5.474192,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,False
196873474,EB,5.206898,1,EB,E,,,,acuerdo,ok,,,2026-09-05,True
198851135,BCEP,0.1872559,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
202445608,EA/KE,3.36824,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
203856936,ESD,4.3324,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,True
207161872,DCEPS,3.786008,1,DCEPS,CEP,,,,acuerdo,ok,,,2026-09-05,False
207505006,DSCT|GDOR|SXPHE,0.305577,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,True
208522252,DSCT|GDOR|SXPHE,0.83682,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
209036736,BCEP,0.218068,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
212373097,EA,5.15447,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
216151248,BCEP,0.1800941,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
216236227,ACYG+EA:,2.488,1,ACYG,,,,,acuerdo,unconstrained,,,2026-09-05,True
217034340,VAR,2.83664,1,VAR,,,,,acuerdo,unconstrained,,,2026-09-05,True
217372512,BCEP,0.1586,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
218395387,DCEP-FO|ACV|EC|ESD,3.4002,1,DCEP-FO,,,,,acuerdo,unconstrained,,,2026-09-05,True
218709969,DSCT|GDOR|SXPHE,4.1439,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,True
220082557,EA,2.257188,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
224802820,BCEP,0.144921,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
227743418,ESD,4.02474,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,False
231985748,DPV/EA,8.53295,1,DPV,,,,,acuerdo,ok,,,2026-09-05,False
233823777,SPB,3.76619,1,SPB,,,,,acuerdo,ok,,,2026-09-05,False
234068267,BCEP,0.178633,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
234644092,BCEP,0.202068,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
235416159,DSCT|GDOR|SXPHE,0.0875454,1,DSCT,DST,,,,acuerdo,bad,,,2026-09-05,False
235416305,BCEP,0.021367,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
235518467,BCEP,0.1660628,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
235781277,CWA,10.411,1,CWA,CEP,,,,acuerdo,ok,,,2026-09-05,False
236068511,ED,2.146028,1,ED,E,,,,acuerdo,ok,,,2026-09-05,False
236409173,BCEP,0.2242077,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
236838052,BCEP,0.1817808,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
240536742,SPB,1.6758,1,SPB,,,,,acuerdo,unconstrained,,,2026-09-05,True
245465292,DSCT|GDOR|SXPHE,5.9167,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
246047409,BCEP,0.1775968,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
246075936,DSCT|GDOR|SXPHE,6.2795,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
247066241,BCEP,0.1657833,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
247264964,BCEP,0.10794,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
247315421,EA,3.9207,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
248275346,BCEP,0.1428561,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
250722653,BCEP,0.3908,1,BCEP,,,,,acuerdo,bad,,quizas multiperiodica,2026-09-05,False
251230392,ELL,1.8596,1,ELL,ELL,,,,acuerdo,ok,,,2026-09-05,False
251304698,DPV/ELL,10.5856,1,DPV,,,,,acuerdo,ok,,,2026-09-05,True
251322835,VAR,0.73617,1,VAR,,,,,acuerdo,bad,,,2026-09-05,True
251384128,EA,5.4551,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
251684704,DSCT|GDOR|SXPHE,2.41164,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,True
253951250,DSCT|GDOR|SXPHE,3.3144,1,DSCT,DST,,,,acuerdo,maybe,,,2026-09-05,True
256421798,EB,2.00678,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
256608717,E,2.51134,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
259064165,DSCT|GDOR|SXPHE,8.9919,1,DSCT,DST,,,,acuerdo,bad,,,2026-09-05,False
259108127,E,5.3281,1,E,E,,,,acuerdo,,,,,
262113065,DSCT|GDOR|SXPHE,1.49277,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
262859209,DCEPS(B),0.631355,1,DCEPS,CEP,,,,acuerdo,ok,,,2026-09-05,False
263335853,EB,3.0115,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
263422831,BCEP,0.245744,1,BCEP,,,,,acuerdo,ok,,pulsacional noisy,2026-09-05,False
264613619,BCEP,0.164309,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
264729815,BCEP,0.59134,1,BCEP,,,,,acuerdo,dudoso,,dudosa,2026-09-05,False
264730031,VAR,0.1089071,1,VAR,,,,,acuerdo,bad,,creo que la LC,2026-09-05,False
264731122,BCEP,0.242323,1,BCEP,,,,,acuerdo,dudoso,,dudosa,2026-09-05,False
264731958,BCEP,0.212227,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,True
264804453,E,1.4307,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
264998628,VAR,0.66391,1,VAR,,,,,acuerdo,ok,,,2026-09-05,True
265298333,BCEP,0.1147205,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
266265296,E,2.05161,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
