angDist,ID,database,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,sector_list,filenames
0.078962,OGLE-BLG-LPV-236863,4,260.24162499999994,-39.47741666666667,195834343,260.24162595729,-39.47743858812,0,,,17205798-3928386,0,J172058.01-392838.9,5972393715817452544,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,12.9489,0.006314,9.924,1.0,jhk,,,,,,,,,,,,,,,,,,260.24162595729,-39.47743858812,-11.60927627683566,-1.4732166376804474,[66],['hlsp_tess-spoc_tess_phot_0000000195834343-s0066_tess_v1_lc.fits']
0.178158,OGLE-GD-LPV-022343,4,283.27087499999993,-1.589527777777778,54681114,283.27089458266,-1.58957322993,0,,,18530501-0135224,0,J185305.03-013522.4,4265196786091659520,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.8973,0.125484,9.95,1.0,jhk,,,,,,,,,,,,,,,,,,283.27089458266,-1.58957322993,31.704646359715365,-1.0907663348241647,[80],['hlsp_tess-spoc_tess_phot_0000000054681114-s0080_tess_v1_lc.fits']
0.084907,OGLE-GD-LPV-003393,4,194.68041666666664,-58.16138888888889,253127988,194.68037195815,-58.16138896994,0,,,12584330-5809409,0,J125843.28-580941.1,6057294567748864512,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.3436,0.029745,9.968,1.0,jhk,,,,,,,,,,,,,,,,,,194.68037195815,-58.16138896994,-56.104358121893206,4.696728673523547,"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000253127988-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000253127988-s0065_tess_v1_lc.fits']"
0.094161,OGLE-BLG-LPV-240065,4,262.6884166666666,-37.13875,175626103,262.68842883811,-37.13877428966,0,,,17304521-3708195,0,J173045.24-370819.5,5974215950162096512,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.9191,0.039378,9.572,1.0,jhk,,,,,,,,,,,,,,,,,,262.68842883811,-37.13877428966,-8.59582796096418,-1.7566316661486834,[66],['hlsp_tess-spoc_tess_phot_0000000175626103-s0066_tess_v1_lc.fits']
0.139097,OGLE-GD-LPV-009704,4,236.980125,-52.440861111111104,272514690,236.98006330796,-52.4408699808,0,,,15475524-5226270,0,J154755.21-522627.1,5885899671538170880,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,16.0428,0.031703,9.696,1.0,jhk,,,,,,,,,,,,,,,,,,236.98006330796,-52.4408699808,-31.946614231448805,1.604001040153868,[65],['hlsp_tess-spoc_tess_phot_0000000272514690-s0065_tess_v1_lc.fits']
0.016012,OGLE-GD-LPV-015849,4,253.6109166666666,-46.82055555555556,247143687,253.61091995206,-46.82055939341,0,,,16542662-4649142,0,J165426.63-464914.0,5939898439905594752,0,0,STAR,tmgaia2,tmgaia2,-0.035,0.438,-2.166,0.34,gaia2,-0.3791,0.2354,,,14.1043,0.056179,9.069,1.0,jhk,gaia2,,,,,,,,,,,5487.81,2379.78,2.2291,0.3829,1896.12,2863.44,253.61091973286,-46.82056872126,-20.383464092576443,-2.002892651236514,[66],['hlsp_tess-spoc_tess_phot_0000000247143687-s0066_tess_v1_lc.fits']
0.24337,OGLE-GD-LPV-023566,4,285.2904583333333,9.85886111111111,222852929,285.29040791151,9.85881526017,0,,,19010970+0951317,0,J190109.69+095131.5,4310949560803777664,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.0483,0.067714,8.659,1.0,jhk,,,,,,,,,,,,,,,,,,285.29040791151,9.85881526017,42.8118595722874,2.3430292199301954,[80],['hlsp_tess-spoc_tess_phot_0000000222852929-s0080_tess_v1_lc.fits']
0.103369,OGLE-GD-LPV-000513,4,131.88049999999998,-38.81066666666666,181724026,131.88048407298,-38.8106407736,0,,256-030876,08473133-3848382,0,J084731.34-384838.3,5528914565541320064,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,15.431,0.186,13.271,0.024644,9.89,0.168,vjk,,,,,,,,,,,,,,,,,,131.88048407298,-38.8106407736,-100.08852361333156,2.9032453672092924,[62],['hlsp_tess-spoc_tess_phot_0000000181724026-s0062_tess_v1_lc.fits']
0.095126,OGLE-GD-LPV-016124,4,254.352125,-41.57486111111111,342388505,254.35209424728,-41.57487410926,0,,,16572452-4134295,0,J165724.50-413429.4,5966583518389222912,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.459,0.027334,10.044,1.0,jhk,,,,,,,,,,,,,,,,,,254.35209424728,-41.57487410926,-15.96135912784118,0.8693776205829143,[66],['hlsp_tess-spoc_tess_phot_0000000342388505-s0066_tess_v1_lc.fits']
0.086153,OGLE-GD-LPV-003688,4,197.75791666666663,-64.18738888888889,441983695,197.75786341895,-64.18738296138,0,,,13110191-6411145,0,J131101.90-641114.5,5862045560661722624,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.858,0.048553,9.541,1.0,jhk,,,,,,,,,,,,,,,,,,197.75786341895,-64.18738296138,-54.93662382618231,-1.3967601365611844,"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000441983695-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000441983695-s0065_tess_v1_lc.fits']"
0.034315,OGLE-BLG-LPV-245655,4,264.8250833333333,-36.1395,263675855,264.82508545717,-36.13950937636,0,,,17391802-3608222,0,,4041155280341918976,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.7088,0.021101,9.658,1.0,jhk,,,,,,,,,,,,,,,,,,264.82508545717,-36.13950937636,-6.82757924163697,-2.659757814246696,[66],['hlsp_tess-spoc_tess_phot_0000000263675855-s0066_tess_v1_lc.fits']
0.057493,OGLE-GD-LPV-018082,4,276.863375,-11.086972222222222,386345413,276.86339071398,-11.08696806914,0,,,18272720-1105132,0,J182727.21-110513.1,4153433799899249408,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.6958,0.027382,10.182,1.0,jhk,,,,,,,,,,,,,,,,,,276.86339071398,-11.08696806914,20.346881022063595,0.2033197624081939,[80],['hlsp_tess-spoc_tess_phot_0000000386345413-s0080_tess_v1_lc.fits']
0.097719,OGLE-GD-LPV-004116,4,201.99825,-61.20827777777778,312912020,201.99819385053,-61.20827543854,0,,,13275957-6112297,0,J132759.61-611229.6,5868670839755504384,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.623,0.033399,9.718,1.0,jhk,,,,,,,,,,,,,,,,,,201.99819385053,-61.20827543854,-52.679724842303656,1.3516181244275671,[65],['hlsp_tess-spoc_tess_phot_0000000312912020-s0065_tess_v1_lc.fits']
0.143397,OGLE-GD-LPV-023882,4,285.85341666666665,-0.5438055555555555,308333772,285.85342127956,-0.54376599098,0,,448-094716,19032482-0032375,0,J190324.87-003237.9,4265533992516182912,0,0,STAR,tmgaia2,tmgaia2,-4.829,0.424,-7.079,0.359,gaia2,0.4503,0.1839,16.851,0.103,11.3881,0.016415,9.554,0.025,rered,gaia2,,,,,,,,,,,2246.0,1201.77,0.335,0.1032,741.33,1662.2,285.85340048731,-0.54379647212,33.81363065756159,-2.9124542791030863,[80],['hlsp_tess-spoc_tess_phot_0000000308333772-s0080_tess_v1_lc.fits']
0.126791,OGLE-GD-LPV-022197,4,283.0817083333333,-0.5386111111111112,53632032,283.08169181249,-0.53864221602,0,,,18521960-0032190,0,J185219.62-003218.9,4266085260191938048,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.4523,0.037304,10.322,1.0,jhk,,,,,,,,,,,,,,,,,,283.08169181249,-0.53864221602,32.55388954330108,-0.4433719601129465,[80],['hlsp_tess-spoc_tess_phot_0000000053632032-s0080_tess_v1_lc.fits']
