TIC,class_raw,class_paper,class_tokens,reference,method,period,class_is_inferred,source_table,ra_deg,dec_deg,tic
234834992,PQ,AMBIGUOUS,AMBIGUOUS,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.4847309743092583,False,J/A+A/639/A81/table2 x tablea1,97.83692,4.8344,234834992
234834992,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,97.83692,4.8344,234834992
234840662,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.7761989342806397,False,J/A+A/639/A81/table2 x tablea1,97.98134,4.94286,234840662
234840662,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,97.98134,4.94286,234840662
234881667,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,5.524861878453039,False,J/A+A/639/A81/table2 x tablea1,98.03878,4.82353,234881667
234881667,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,98.03878,4.82353,234881667
234933597,Be=Y; signals=S/I/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,98.4767,4.66238,234933597
234933888,EB,ECL,ECL,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,6.882312456985547,False,J/A+A/639/A81/table2 x tablea1,,,234933888
234947719,SLF+rot?,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.1614401858304295,False,J/A+A/639/A81/table2 x tablea1,98.59821,2.53415,234947719
234947719,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,98.59821,2.53415,234947719
237651093,Be=Y; signals=I/H/V/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4629629629629629,False,J/AJ/163/226/table2,103.59231,0.18187,237651093
238314043,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,0.231,False,"ApJ 989,177 Table 2 (article HTML)",,,238314043
238381092,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,1.608,False,"ApJ 989,177 Table 2 (article HTML)",,,238381092
246953610,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.5125628140703515,False,J/A+A/639/A81/table2 x tablea1,253.36924,-42.1214,246953610
246953610,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,253.36924,-42.1214,246953610
253177102,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7692307692307692,False,J/AJ/163/226/table2,195.09958,-59.68544,253177102
257065501,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7142857142857143,False,J/AJ/163/226/table2,102.284385,0.089448,257065501
258704817,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.8,False,J/AJ/163/226/table2,222.185625,-66.5935611111,258704817
263805130,Be=Y; signals=S/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,96.00072,8.30068,263805130
265080539,Pulsation (SPB),PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,0.226,False,"ApJ 989,177 Table 4 (article HTML)",,,265080539
270934336,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,132.08694,-46.9105,270934336
275038687,Pulsation (IGW),PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,3.637,False,"ApJ 989,177 Table 4 (article HTML)",,,275038687
276653683,Pulsation (SPB (IGW)),PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,3.595,False,"ApJ 989,177 Table 4 (article HTML)",,,276653683
277099925,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,83.98653,-67.4596,277099925
277099925,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,83.98653,-67.4596,277099925
277173650,SLF / instr?,SLF,AMBIGUOUS|SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,84.19661,-69.4978,277173650
277173650,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,84.19661,-69.4978,277173650
277502552,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,,277502552
280835427,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.6896551724137931,False,J/AJ/163/226/table2,144.46204,-53.68035,280835427
281741629,rot / Be,BE,BE|ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,12.25548,-56.09704,281741629
281741629,BE(BE),BE,BE,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,12.25548,-56.09704,281741629
281741629,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9615384615384616,False,J/AJ/163/226/table2,12.25548,-56.09704,281741629
281741629,SPB?,PULS,PULS,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 4,12.25548,-56.09704,281741629
283206453,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.5873015873015872,False,J/AJ/163/226/table2,104.079519,-3.80706,283206453
285187855,Be=Y; signals=,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,233.77022,-56.98395,285187855
285916305,Be=Y; signals=S/I/L/H,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,119.75305,-48.37631,285916305
292362364,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.7543859649122808,False,J/AJ/163/226/table2,106.980564,1.719594,292362364
294114621,SLF+rot?,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.819672131147541,False,J/A+A/639/A81/table2 x tablea1,92.23259,15.70505,294114621
294114621,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,92.23259,15.70505,294114621
295099096,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.819672131147541,False,J/AJ/163/226/table2,140.49343,-51.17649,295099096
305255878,Pulsation,PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,0.377,False,"ApJ 989,177 Table 4 (article HTML)",,,305255878
306491594,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.092050209205021,False,J/A+A/639/A81/table2 x tablea1,166.88674,-59.96353,306491594
306491594,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,166.88674,-59.96353,306491594
307100246,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.5319148936170213,False,J/AJ/163/226/table2,179.66067,-60.65501,307100246
308951795,Be=S; signals=S/I/L/H/V/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,167.83056,-59.92046,308951795
309702035,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,79.71561,-65.68956,309702035
309702035,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,79.71561,-65.68956,309702035
313955481,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9615384615384616,False,J/AJ/163/226/table2,202.39291,-61.19337,313955481
313986452,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,,313986452
314868712,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.0526315789473684,False,J/AJ/163/226/table2,244.6641,-49.41389,314868712
315036866,Be=Y; signals=I+/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.282051282051282,False,J/AJ/163/226/table2,202.81455,-61.7326,315036866
315830698,Be=Y; signals=I,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,171.30736,-61.27688,315830698
317795621,Be=Y; signals=S/I/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.075268817204301,False,J/AJ/163/226/table2,172.77881,-62.94694,317795621
319936861,cont.,AMBIGUOUS,AMBIGUOUS,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.0467915837956665,False,J/A+A/639/A81/table2 x tablea1,,,319936861
321335373,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,,321335373
325237845,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.8,False,J/AJ/163/226/table2,177.37477,-64.6225,325237845
325273334,Be=Y; signals=I/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.5405405405405405,False,J/AJ/163/226/table2,209.49073,-59.88467,325273334
329059929,Be=Y; signals=I+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,211.35494,-62.58844,329059929
329074395,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,3.775,False,"ApJ 989,177 Table 2 (article HTML)",,,329074395
330281456,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.103934357248054,False,J/A+A/639/A81/table2 x tablea1,211.85682,-60.4706,330281456
330281456,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,211.85682,-60.4706,330281456
335036191,Pulsation,PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,1.599,False,"ApJ 989,177 Table 4 (article HTML)",,,335036191
337364158,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,,337364158
337886863,Binary (eclipsing/ellipsoidal),ECL,ECL,2025ApJ...989..177C (Campelo+ 2025),visual,2.754,False,"ApJ 989,177 Table 5 (article HTML)",,,337886863
338640317,SLF+rot?,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,8.928571428571429,False,J/A+A/639/A81/table2 x tablea1,253.19739,-41.78583,338640317
338640317,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,253.19739,-41.78583,338640317
338738989,Be=Y; signals=I/H,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,253.2499,-41.40759,338738989
339565205,cont.,AMBIGUOUS,AMBIGUOUS,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.424778761061947,False,J/A+A/639/A81/table2 x tablea1,,,339565205
339567904,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.1978021978021975,False,J/A+A/639/A81/table2 x tablea1,253.5485,-41.84925,339567904
339567904,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,253.5485,-41.84925,339567904
339568114,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,5.291005291005291,False,J/A+A/639/A81/table2 x tablea1,253.6082,-41.83216,339568114
339568114,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,253.6082,-41.83216,339568114
339570292,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,6.305170239596469,False,J/A+A/639/A81/table2 x tablea1,253.54799,-41.64194,339570292
339570292,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,253.54799,-41.64194,339570292
340878553,Be=Y; signals=S/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,238.44099,-61.66396,340878553
341258182,EB,ECL,ECL,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.247191011235955,False,J/A+A/639/A81/table2 x tablea1,,,341258182
343376491,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.6666666666666666,False,J/AJ/163/226/table2,240.93523,-60.49847,343376491
381747495,Be=S; signals=S/L/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,182.6254,-64.1009,381747495
382750740,Be=Y; signals=I/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.819672131147541,False,J/AJ/163/226/table2,183.53186,-60.60234,382750740
383162375,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4608294930875576,False,J/AJ/163/226/table2,258.25165,-42.63346,383162375
385626507,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.2195121951219512,False,J/AJ/163/226/table2,138.46401,-55.53969,385626507
389921913,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,87.83658,-70.28592,389921913
389921913,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,87.83658,-70.28592,389921913
402894425,Pulsation,PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,0.139,False,"ApJ 989,177 Table 4 (article HTML)",,,402894425
404967301,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,85.36531,-69.80104,404967301
404967301,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,85.36531,-69.80104,404967301
405577964,Be=Y; signals=S/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.641025641025641,False,J/AJ/163/226/table2,191.86374,-57.97248,405577964
427393058,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,0.855,False,"ApJ 989,177 Table 2 (article HTML)",,,427393058
427393920,rot,ROT,ROT,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.0960105217010083,False,J/A+A/639/A81/table2 x tablea1,83.88069,-5.26738,427393920
427393920,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,83.88069,-5.26738,427393920
427393920,Pulsation (IGW?),PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,1.095,False,"ApJ 989,177 Table 4 (article HTML)",83.88069,-5.26738,427393920
427395058,SLF?,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.975124378109452,False,J/A+A/639/A81/table2 x tablea1,83.86,-5.41689,427395058
