angDist,GaiaDR3,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,filenames
0.038088,4266284237448996352,283.50606367209,0.16803223841,226887508,283.50606153343,0.1680426,0,0449-00488-1,451-083550,18540145+0010049,0,J185401.44+001004.9,4266284237448996352,37091162,0,STAR,tmgaia2,tmgaia2,0.482,0.077,-2.319,0.068,gaia2,0.5497,0.048,11.377,0.016,11.2121,0.000474,10.533,0.073,rered,gaia2,9641.0,126.0,,,,,13.324,,,,1734.77,148.535,1.0662,0.0875,136.19,160.88,283.50606360877,0.16803261736,33.376318148269775,-0.4988253686246308,1,[226887508],,
0.038123,454697196814623488,40.38098736885,56.15718593403,245702778,40.38100614991,56.15718758954,0,,731-025933,02413144+5609258,0,J024131.42+560925.8,454697196814623488,57218251,0,STAR,tmgaia2,tmgaia2,-2.342,0.063,-0.376,0.07,gaia2,0.3359,0.0332,12.03,0.046,11.8782,0.001699,11.465,0.016,rered,gaia2,8051.0,128.0,,,,,9.258,,,,2720.41,253.78,0.4617,0.0185,231.11,276.45,40.38098804252,56.15718597023,137.87257360066616,-3.4876983231420944,1,[245702778],,
0.038124,5964387037771707776,252.88913997315,-44.4274502018,246553529,252.88914527248,-44.42744031122,0,7880-02242-1,228-126424,16513338-4425388,0,J165133.38-442538.7,5964387037771707776,21424561,0,STAR,tmgaia2,tmgaia2,-0.847,0.099,-2.219,0.076,gaia2,0.635,0.0519,9.683,0.005,9.44785,0.000435,9.093,0.033,rered,gaia2,8881.0,123.0,,,,,14.251,,,,1514.41,122.495,0.496,0.0397,112.84,132.15,252.88914016425,-44.42744986409,-18.85069254798503,-0.0967911736586878,1,[246553529],[66],['hlsp_tess-spoc_tess_phot_0000000246553529-s0066_tess_v1_lc.fits']
0.038129,2164021441071448832,318.4244079803592,45.61145061880052,137443271,318.42440802598,45.61146121007,104787,3589-06890-1,679-099797,21134184+4536412,0,J211341.86+453641.2,2164021441071448832,53882909,0,STAR,tmgaia2,tmgaia2,-0.005,0.074,-2.364,0.084,gaia2,1.0736,0.0444,7.52,0.03,7.46936,0.000498,7.706,0.018,rered,gaia2,,,,,,,,,,,908.636,36.972,0.3969,0.0166,35.497,38.447,318.4244079962,45.61145103173,88.22324904017675,-2.077295694756391,1,[137443271],"[55, 56, 75, 76, 82, 83]","['hlsp_tess-spoc_tess_phot_0000000137443271-s0055_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000137443271-s0056_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000137443271-s0075_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000137443271-s0076_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000137443271-s0082_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000137443271-s0083_tess_v1_lc.fits']"
0.038132,414196617287885312,18.996040698840275,59.15394486765568,332044806,18.99606079312,59.15394732571,0,3681-00695-1,746-011432,01155905+5909141,0,J011559.05+590914.2,414196617287885312,57737275,0,STAR,tmgaia2,tmgaia2,-2.298,0.037,-0.549,0.039,gaia2,0.3671,0.0288,11.357,0.011,11.432,0.002668,11.087,0.01,rered,gaia2,8167.0,138.0,,,,,9.279,,,,2516.25,186.0,0.3798,0.0103,172.69,199.31,18.99604149327,59.15394496219,126.08001405133147,-3.567683401009873,1,[332044806],,
0.038133,5978122373236134144,256.88320697633367,-34.50697113162238,42534267,256.88319849583,-34.50696317162,0,7369-00680-1,278-113074,17073195-3430250,0,J170731.96-343025.0,5978122373236134144,0,0,STAR,tmgaia2,tmgaia2,1.577,0.12,-1.781,0.077,gaia2,1.0103,0.075,8.342,0.003,8.27816,0.000433,8.297,0.015,rered,gaia2,,,,,,,,,,,969.634,72.74,0.2753,0.016,67.404,78.076,256.88320673517,-34.50697083986,-9.142274112987678,3.6069210215952463,1,[42534267],[66],['hlsp_tess-spoc_tess_phot_0000000042534267-s0066_tess_v1_lc.fits']
0.038138,5964300519946386944,252.4109271247,-44.52811741754,246047409,252.4109311734,-44.52810722433,0,7879-02637-1,228-125323,16493861-4431412,0,J164938.62-443141.3,5964300519946386944,21418300,0,STAR,tmgaia2,tmgaia2,-0.649,0.097,-2.285,0.064,gaia2,0.411,0.0483,11.254,0.035,10.9923,0.003178,10.547,0.047,rered,gaia2,8126.0,131.0,,,,,12.438,,,,2281.87,262.915,0.524,0.0594,233.87,291.96,252.41092725259,-44.52811706162,-19.146189591754105,0.1013073390603105,1,[246047409],"[12, 39, 66]","['hlsp_tess-spoc_tess_phot_0000000246047409-s0012_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000246047409-s0039_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000246047409-s0066_tess_v1_lc.fits']"
0.038142,5972731918726009472,259.6377574887524,-38.463995335722295,192126654,259.63776874264,-38.46400121848,0,7870-00132-1,258-117921,17183306-3827504,0,J171833.06-382750.3,5972731918726009472,19131629,0,STAR,tmgaia2,tmgaia2,-1.974,0.089,1.333,0.059,gaia2,0.4585,0.0516,10.023,0.006,9.65272,0.001055,9.065,0.064,rered,gaia2,8368.0,123.0,,,,,27.499,,,,2065.88,230.755,0.7804,0.0808,205.92,255.59,259.63775788531,-38.46399547922,-11.047142903040816,-0.5080578881364429,1,[192126654],[66],['hlsp_tess-spoc_tess_phot_0000000192126654-s0066_tess_v1_lc.fits']
0.038148,4153662223473853696,274.46798561775,-12.14124267045,114075403,274.46798526023,-12.14123207966,0,5685-02328-1,390-088083,18175232-1208284,0,J181752.31-120828.4,4153662223473853696,6682136,0,STAR,tmgaia2,tmgaia2,0.089,0.081,-2.38,0.07,gaia2,0.4355,0.0441,10.917,0.011,10.3643,0.000281,9.759,0.006,gbprp,,,,,,,,,,,,2162.56,215.395,,,194.67,236.12,274.46798565235,-12.14124232701,18.31458126757231,1.7806188863530472,1,[114075403],[80],['hlsp_tess-spoc_tess_phot_0000000114075403-s0080_tess_v1_lc.fits']
0.038152,4259877000878165248,281.24567165515,-1.84662060075,225551967,281.24567418937,-1.84661030999,0,5113-00366-1,441-081966,18445896-0150477,1237662979967091297,J184458.96-015047.6,4259877000878165248,1722299,0,STAR,tmgaia2,tmgaia2,-0.569,0.106,-2.307,0.107,gaia2,0.3541,0.0744,12.45,0.046,11.9764,0.000439,11.299,0.055,rered,gaia2,8709.0,130.0,,,,,14.105,,,,2603.2,556.245,0.9633,0.0675,449.37,663.12,281.24567173693,-1.84662024377,30.55253789446557,0.5934598767851937,1,[225551967],,
